trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
314,True,"{'a': 0, 'e': 0}",25,9,-68.91515877664781,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 2}",1
315,True,"{'a': 0, 'e': 0}",25,0,-163.53874919133185,"{0: 16, 1: 0, 2: 4, 3: 3, 4: 2}",0
316,True,"{'a': 0, 'e': 0}",20,0,-172.04635261083257,"{0: 7, 1: 4, 2: 6, 3: 1, 4: 2}",0
317,True,"{'a': 0, 'e': 0}",20,0,-106.19477226688066,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
318,True,"{'a': 0, 'e': 0}",20,7,-165.09596485626813,"{0: 4, 1: 2, 2: 4, 3: 0, 4: 3}",1
319,True,"{'a': 0, 'e': 0}",25,0,-100.93570922487271,"{0: 13, 1: 2, 2: 9, 3: 1, 4: 0}",0
320,True,"{'a': 0, 'e': 0}",30,0,-140.65717396853015,"{0: 18, 1: 5, 2: 4, 3: 1, 4: 2}",0
321,True,"{'a': 0, 'e': 0}",20,0,-149.15796844150907,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
322,True,"{'a': 0, 'e': 0}",20,0,-138.95227470837062,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
323,True,"{'a': 0, 'e': 0}",25,0,-129.5711771578306,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
324,True,"{'a': 0, 'e': 0}",20,12,-21.95583140341036,"{0: 4, 1: 2, 2: 2, 3: 0, 4: 0}",1
325,True,"{'a': 0, 'e': 0}",30,0,-95.25663703105533,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0
326,True,"{'a': 0, 'e': 0}",20,0,-25.025370988045093,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
327,True,"{'a': 0, 'e': 0}",25,0,-119.58157144537384,"{0: 15, 1: 6, 2: 1, 3: 1, 4: 2}",0
328,True,"{'a': 0, 'e': 0}",25,11,-118.3137778904748,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 2}",1
329,True,"{'a': 0, 'e': 0}",20,4,-36.915664084296296,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 0}",1
330,True,"{'a': 0, 'e': 0}",20,0,-191.1908887057152,"{0: 10, 1: 2, 2: 3, 3: 2, 4: 3}",0
331,True,"{'a': 0, 'e': 0}",20,0,-136.13082263794155,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
332,True,"{'a': 0, 'e': 0}",20,0,-48.610676216970404,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
333,True,"{'a': 0, 'e': 0}",20,0,-86.3794597517957,"{0: 11, 1: 4, 2: 2, 3: 3, 4: 0}",0
334,True,"{'a': 0, 'e': 0}",20,0,-91.9432968651725,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
335,True,"{'a': 0, 'e': 0}",20,0,-50.60855891564351,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
336,True,"{'a': 0, 'e': 0}",20,0,-69.45359727660072,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
337,True,"{'a': 0, 'e': 0}",20,0,-152.7019530711331,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
338,True,"{'a': 0, 'e': 0}",30,0,-172.85953744936268,"{0: 16, 1: 4, 2: 6, 3: 2, 4: 2}",0
339,True,"{'a': 0, 'e': 0}",20,0,-139.48193731327225,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
340,True,"{'a': 0, 'e': 0}",20,0,-72.84425525314225,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
341,True,"{'a': 0, 'e': 0}",30,0,-116.88163517104479,"{0: 18, 1: 2, 2: 9, 3: 0, 4: 1}",0
342,True,"{'a': 0, 'e': 0}",35,0,-100.60520230556428,"{0: 21, 1: 5, 2: 8, 3: 1, 4: 0}",0
343,True,"{'a': 0, 'e': 0}",25,0,-169.74284829288848,"{0: 14, 1: 1, 2: 6, 3: 2, 4: 2}",0
344,True,"{'a': 0, 'e': 0}",25,0,-157.50934406181682,"{0: 15, 1: 4, 2: 3, 3: 0, 4: 3}",0
345,True,"{'a': 0, 'e': 0}",25,0,-96.7219521429587,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
346,True,"{'a': 0, 'e': 0}",20,0,-96.5521018492297,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
347,True,"{'a': 0, 'e': 0}",25,0,-137.79259518764457,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
348,True,"{'a': 0, 'e': 0}",25,0,-134.9351105662399,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
349,True,"{'a': 0, 'e': 0}",30,16,-76.9026282928087,"{0: 9, 1: 0, 2: 3, 3: 1, 4: 1}",1
350,True,"{'a': 0, 'e': 0}",30,0,-200.8422026422523,"{0: 16, 1: 3, 2: 8, 3: 0, 4: 3}",0
351,True,"{'a': 0, 'e': 0}",20,0,-125.47831699067112,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
352,True,"{'a': 0, 'e': 0}",25,0,-105.35491140638247,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
353,True,"{'a': 0, 'e': 0}",20,0,-102.68731885569792,"{0: 11, 1: 5, 2: 1, 3: 2, 4: 1}",0
354,True,"{'a': 0, 'e': 0}",20,0,-93.09120677159794,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
355,True,"{'a': 0, 'e': 0}",20,0,-222.99681831960916,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 5}",0
356,True,"{'a': 0, 'e': 0}",25,5,-51.28993991307628,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",1
357,True,"{'a': 0, 'e': 0}",20,0,-62.2654744634761,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
358,True,"{'a': 0, 'e': 0}",30,0,-108.9306138839972,"{0: 18, 1: 5, 2: 6, 3: 0, 4: 1}",0
359,True,"{'a': 0, 'e': 0}",20,0,-103.40460889565388,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
360,True,"{'a': 0, 'e': 0}",20,0,-78.23612701836085,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
361,True,"{'a': 0, 'e': 0}",30,0,-147.9067986259049,"{0: 19, 1: 5, 2: 2, 3: 2, 4: 2}",0
362,True,"{'a': 0, 'e': 0}",30,0,-110.61337058240039,"{0: 17, 1: 3, 2: 9, 3: 1, 4: 0}",0
363,True,"{'a': 0, 'e': 0}",30,0,-276.9138259394634,"{0: 13, 1: 1, 2: 12, 3: 0, 4: 4}",0
364,True,"{'a': 0, 'e': 0}",20,0,-42.25798169323671,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
365,True,"{'a': 0, 'e': 0}",25,3,-208.70792574849284,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 4}",1
366,True,"{'a': 0, 'e': 0}",25,0,-133.25688160854057,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
367,True,"{'a': 0, 'e': 0}",25,0,-163.49935387545887,"{0: 11, 1: 5, 2: 7, 3: 0, 4: 2}",0
